カテゴリーID,動画ID,製品タイトル,カテゴリー,コンテンツタイトル,コンテンツ概要
ERK-SET04-01,ERK4320S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,酸素・ちっ素・二酸化炭素中のろうそくの燃え方 ,"酸素・窒素・二酸化炭素を、それぞれ集気びんに集めて、ろうそくが燃えるか調べます。（3分47秒）"
ERK-SET04-01,ERK4330S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,酸素の発生,"二酸化マンガンに過酸化水素水を加え、酸素を発生させる実験を紹介します。また、発生した気体が酸素かどうか、ろうそくを燃やして確かめます。（3分11秒）"
ERK-SET04-01,ERK4340S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,二酸化炭素の発生,"石灰石に塩酸を加え、二酸化炭素を発生させる実験を紹介します。また、発生した気体が二酸化炭素かどうか、石灰水で確かめます。（3分16秒）"
ERK-SET04-01,ERK4350S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,ろうそくが燃えたあとの空気はどうなっているか,"ろうそくが燃えたあと、集気びんの中の酸素と二酸化炭素はどうなっているのでしょうか。再びろうそくを燃やしたり、石灰水を入れたりして、確かめていきます。（3分15秒）"
ERK-SET04-01,ERK4360S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,気体検知管を使って調べる,"ろうそくが燃える前と燃えたあとの酸素・二酸化炭素の割合を、気体検知管を使ってくわしく調べます。（6分19秒）"
ERK-SET04-01,ERK4370S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,酸素と二酸化炭素５０％ずつの中でろうそくが燃えるようす,"集気びんに、酸素と二酸化炭素を50％ずつ集め、ろうそくが燃えるか調べます。（3分24秒）"
ERK-SET04-01,ERK4380S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,ものの燃え方と空気,金属は燃えるだろうか？,"スチールウールを実験用ガスコンロで熱し、金属が燃えるようすを紹介します。さらに、金属は燃えても、二酸化炭素を出さないことを確かめます。（1分52秒）"
ERK-SET04-02,ERK3490S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,葉はでんぷんをつくるだろうか,日光に当てた葉と、アルミニウムはくでおおいをした葉にでんぷんがつくられるか、ヨウ素液を使って調べます。（4分51秒）
ERK-SET04-02,ERK3500S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,たたきぞめででんぷんを調べる,葉を、ろ紙にはさんでたたき、でんぷんがあるか調べる方法を紹介します。（2分26秒）
ERK-SET04-02,ERK3510S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,葉の色をぬいてでんぷんを調べる,エチルアルコールで葉の色をぬいて、でんぷんがあるか調べる方法を紹介します。（2分1秒）
ERK-SET04-02,ERK3520S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,しぼった液ででんぷんを調べる,葉をしぼった液で、でんぷんがあるか調べる方法を紹介します。（2分51秒）
ERK-SET04-02,ERK3530S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,葉でできたでんぷんのゆくえ,葉でつくられたでんぷんは、どこへ移動するのかをイラストで解説します。（1分27秒）
ERK-SET04-02,ERK3540S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,けんび鏡で見たでんぷんのようす,ジャガイモのでんぷんを、けんび鏡で観察します。ヨウ素液をつけたときのようすも観察します。（1分34秒）
ERK-SET04-02,ERK3550S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,植物の水の通り道を調べる,ホウセンカに食紅を溶かした水を吸わせます。8時間後に、葉、葉の付け根の断面、茎のの断面、根の断面を観察し、水の通り道を確かめます。（4分32秒）
ERK-SET04-02,ERK3560S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,葉まで運ばれた水のゆくえ,一方のホウセンカは葉をつけたまま、もう一方のホウセンカは葉を全部取り去り、それぞれにポリエチレンの袋をかぶせて、袋のようすを観察します。ジャガイモでも同じ実験を行い、水が、葉から出て行くことを確かめます。（4分8秒）
ERK-SET04-02,ERK3570S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,植物の養分と水の通り道,葉の表面を観察してみよう,ホウセンカとジャガイモの葉の表面の皮をはぎ取り、スライドガラスにのせて、けんび鏡で観察します。最後にイラストで、蒸散の説明をします。（2分27秒）
ERK-SET04-03,ERK4490S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,吸う空気とはいた空気のちがい,ポリエチレンの袋に、吸う空気とはいた空気を集め、それぞれ石灰水を注いで、白くにごるか調べます。さらに、気体検知管を使って、酸素と二酸化炭素の割合を調べます。（5分29秒）
ERK-SET04-03,ERK4500S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,肺のしくみ,人の呼吸のしくみや肺のつくりを、イラストで説明します。また、肺胞での酸素と二酸化炭素のやりとりのしくみを、アニメーションで紹介します。（3分）
ERK-SET04-03,ERK4510S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,動物・魚の呼吸,ウサギとフナを例に、動物と魚の呼吸のしくみを紹介します。（2分51秒）
ERK-SET04-03,ERK4520S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,だ液のはたらき,ごはんのでんぷんを使って、だ液のはたらきを調べます。（4分10秒）
ERK-SET04-03,ERK4530S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,食べたものが消化されていくようす,食べものが、からだのどこを通り、どのように消化・吸収されていくのか、アニメーションで紹介します。（4分57秒）
ERK-SET04-03,ERK4540S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,動物・魚の消化管のつくり,イヌとフナを例に、動物と魚の消化管のつくりを紹介します。（1分42秒）
ERK-SET04-03,ERK4550S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,心臓の動きと血液の流れ,心臓の動きとはたらきを、アニメーションでくわしく説明します。また、心臓から送り出された血液が、どのように全身をめぐるのか紹介します。（3分32秒）
ERK-SET04-03,ERK4560S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,メダカの血液の流れ,メダカの尾びれを流れる血液のようすを、顕微鏡で観察します。また、メダカのたまごを観察し、心臓が動くようすや赤い血が流れるようすを紹介します。（1分51秒）
ERK-SET04-03,ERK4570S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,からだのつくりとはたらき,からだのおもな臓器,からだの中には、さまざまな働きをもつ臓器が存在していることを紹介します。また、かん臓とじん臓には、どのようなはたらきがあるのか説明します。（2分15秒）
ERK-SET04-04,ERK4580S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,生き物と空気,気体検知管を使って、植物が酸素を出しているのか確かめます。袋に入れたコマツナを用意し、日光に当てる前と当てた後の酸素・二酸化炭素のわりあいを比べます。（4分20秒）
ERK-SET04-04,ERK4590S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,生き物と水,しおれた植物に水をあたえると元気になる様子や、動物が体に水を取り入れて生きている様子などを紹介します。また、地球上の水は、姿を変えながら、自然の中をめぐっていることを説明します。（3分15秒）
ERK-SET04-04,ERK4600S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,給食のもとは,給食のこんだてを例にして、それぞれの食べ物のもとをたどります。（3分54秒）
ERK-SET04-04,ERK4610S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,植物を食べる動物、動物を食べる動物,植物を食べる動物と動物を食べる動物の様子を紹介します。そして、自然の中で生活している生き物は、「食べる・食べられる」という関係でつながっていることを説明します。（2分54秒）
ERK-SET04-04,ERK4620S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,人と動物、植物のかかわり,人、動物、植物は、酸素・二酸化炭素・食べ物を通して、深くかかわり合っているいることを、イラストで説明します。（1分38秒）
ERK-SET04-04,ERK4630S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,水と自然かんきょう,工場はい水や生活はい水によって、川や湖がよごされるようすを紹介します。水のかんきょうを守る取り組みとして、下水しょり場のはたらきや、下水をよごさないための工夫などを紹介します。（2分3秒）
ERK-SET04-04,ERK4640S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,森林と自然かんきょう,人のくらしと森林のかかわり、熱帯林の減少などについて考えていきます。森林を守る取り組みとして、古紙のリサイクルや植林の活動などを紹介します。（3分23秒）
ERK-SET04-04,ERK4650S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,空気と自然かんきょう,人のくらしと空気のかかわり、地球温暖化の問題などについて考えていきます。また、清掃工場の煙をきれいにする装置や電気自動車、光電地で発電をしている家や風力発電など、かんきょうを守るための取り組みや研究を紹介します。（4分32秒）
ERK-SET04-04,ERK4660S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,日本の豊かな自然,知床、白神山地、上高地、瀬戸内海、屋久島の豊かな自然を紹介します。（2分32秒）
ERK-SET04-04,ERK4670S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,ダンゴムシに食べられるかれ葉,ダンゴムシをペトリ皿の中に入れ、かれ葉を食べるか、5日間観察します。（2分31秒）
ERK-SET04-04,ERK4680S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,生き物のくらしと自然かんきょう,土の中の小さな生き物,森の土をとって、土の中でくらす小さな生き物を調べます。（1分45秒）
ERK-SET04-05,ERK4390S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,水よう液の実験を行うときの注意事項,水よう液の実験を行うときの注意事項について解説します。（3分28秒）
ERK-SET04-05,ERK4400S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,蒸発したときのようす,食塩水、塩酸、炭酸水を蒸発させて、とけているものがとり出せるか調べます。（3分27秒）
ERK-SET04-05,ERK4410S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,水にとける二酸化炭素,炭酸水から出るあわを試験管に集め、石灰水を加えて、あわの正体を調べます。また、二酸化炭素は水にとけるのか調べます。（4分36秒）
ERK-SET04-05,ERK4420S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,アルミニウムは、いろいろな水よう液にとけるだろうか,アルミニウムに、塩酸、炭酸水、食塩水、アンモニア水、水酸化ナトリウム水よう液を加えて、アルミニウムがとけるかどうか調べます。（4分5秒）
ERK-SET04-05,ERK4430S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,塩酸にとけるアルミニウムと鉄の変化,アルミニウムと鉄に塩酸を加えて、変化のようすを観察します。（2分35秒）
ERK-SET04-05,ERK4440S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,塩酸にとけたアルミニウムは別のものに変化したか,アルミニウムがとけた塩酸の液を蒸発させて、とけているものを取り出します。そして、取り出したものが、もとの性質から変化しているのか調べます。（3分54秒）
ERK-SET04-05,ERK4450S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,リトマス紙の変化,リトマス紙を使って、水よう液の性質を、酸性、中性、アルカリ性に仲間分けする方法を紹介します。（3分23秒）
ERK-SET04-05,ERK4460S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,身のまわりの水よう液をなかま分けしてみよう,リトマス紙を使って、身のまわりの水よう液の性質を仲間分けしてみます。（2分37秒）
ERK-SET04-05,ERK4470S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,ムラサキキャベツ液の変化,ムラサキキャベツ液を使って、水溶液の性質を仲間分けする方法を紹介します。（4分27秒）
ERK-SET04-05,ERK4480S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,水よう液の性質,酸とアルカリの中和,まず、アルミニウムに塩酸を加えます。ここに、水酸化ナトリウム水よう液を少しずつ加えていき、アルミニウムのとけ方の変化を調べます。（4分5秒）
ERK-SET04-06,ERK3730S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,月と太陽,月と太陽の特ちょう,月と太陽の大きさ、地球からの距離、一日の動きなどを紹介します。（2分15秒）
ERK-SET04-06,ERK3740S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,月と太陽,月の形の見え方,月の形の見え方が、日が経つにつれて、どのように変わるのか調べます。（2分15秒）
ERK-SET04-06,ERK3750S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,月と太陽,月の形と太陽の位置の関係,三日月、半月、満月が観察できるときの太陽の位置を調べ、月の輝いている側には、太陽があることを確認します。また、半月の傾きが、時間と共に変わっていくようすも紹介します。（4分1秒）
ERK-SET04-06,ERK3760S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,月と太陽,月の満ち欠けのモデル実験,電灯を太陽、ボールを月、自分を地球に見立てた、月の満ち欠けのモデル実験を行います。そして、ボールの位置を動かしていくと、ボールの形の見え方が変わっていくことを確かめます。（4分47秒）
ERK-SET04-06,ERK3770S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,月と太陽,月の満ち欠けのしくみ,月が満ち欠けするしくみを3Ｄアニメーション説明します。（3分1秒）
ERK-SET04-06,ERK3780S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,月と太陽,月と太陽の表面のようす,月と太陽の表面のようすと観察の仕方を紹介します。（2分34秒）
ERK-SET04-07,ERK3650S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,さまざまな地層,各地に見られるさまざまな地層を紹介します。また、外国の地層も紹介します。（4分）
ERK-SET04-07,ERK3660S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,地層のでき方,水を入れた長い筒や水そうに土砂を流し込み、どのように土砂が積もるのか観察します。また、水のはたらきや火山のはたらきによって、どのように地層ができるのか、イラストで説明します。（4分14秒）
ERK-SET04-07,ERK3670S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,化石のでき方,化石のでき方をイラストで説明します。また、サンゴや植物の葉など、地層ができた当時の環境がわかる化石と、サンヨウチュウやアンモナイトなど、地層ができた年代がわかる化石を紹介します。（3分50秒）
ERK-SET04-07,ERK3680S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,さまざまな岩石,れき岩、砂岩、でい岩と、岩石が積み重なった地層を紹介します。（1分42秒）
ERK-SET04-07,ERK3690S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,地震のしくみ,地震が発生するしくみを、イラストで説明します。（1分39秒）
ERK-SET04-07,ERK3700S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,火山のふん火とそのしくみ,火山がふん火するしくみを、イラストで説明します。（1分36秒）
ERK-SET04-07,ERK3710S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,火山活動による土地の変化と被害,日本各地の火山（昭和新山、岩手山、浅間山、三原山、雄山、雲仙普賢岳）のようすや、ふん火による被害などを紹介します。（4分16秒）
ERK-SET04-07,ERK3720S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,大地のつくりと変化,地震による土地の変化と被害,1993年に起きた北海道南西沖地震のときの奥尻島の被害と、1995年に起きた兵庫県南部地震のときの神戸市の被害のようすを紹介します。（3分1秒）
ERK-SET04-08,ERK4190S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,てこ実験器の使い方,"てこ実験器の各部の名称と使い方について解説します。（2分26秒）"
ERK-SET04-08,ERK4200S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,おもりの位置とてこをかたむけるはたらきの大きさ,"てこ実験器とバネばかりを使って、おもりの位置とてこをかたむけるはたらきの大きさの関係について解説します。（1分38秒）"
ERK-SET04-08,ERK4210S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,水平につり合うときのきまり,"てこ実験器の左右の腕におもりをつるして、てこがどのようなときに水平につり合うかを調べます。また、てこがつり合うときの距離と重さの関係について解説します。（4分18秒）"
ERK-SET04-08,ERK4220S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,てこ実験器のめもりの間でもきまりがはたらく,"てこ実験器の左の腕におもりをつるし、右の腕に粘土玉をつるしてつり合わせ、それぞれの腕の長さから、粘土玉の重さを予測します。（2分55秒）"
ERK-SET04-08,ERK4230S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,てこを利用した道具,"てこを利用したいろいろな道具を紹介します。また、それぞれのてこの特徴について解説します。（4分2秒）"
ERK-SET04-08,ERK4240S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,上皿てんびんのしくみと使い方,"上皿てんびんのしくみと使い方について解説します。（5分17秒）"
ERK-SET04-08,ERK4250S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,力点を動かす,"てこの力点の位置を移動させて、力点にかかる力の大きさをバネばかりで調べます。（1分47秒）"
ERK-SET04-08,ERK4260S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,作用点を動かす,"てこの作用点の位置を移動させて、力点にかかる力の大きさをバネばかりで調べます。（1分52秒）"
ERK-SET04-08,ERK4270S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,支点を動かす,"てこの支点の位置を移動させて、力点にかかる力の大きさをバネばかりで調べます。（1分46秒）"
ERK-SET04-08,ERK4280S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,複数の位置におもりをつるしたら？,"複数の位置におもりをつるしててこがつりあったとき、てこのきまりが当てはまるかを考えていきます。左右の腕をかたむけるはたらきの大きさを計算し、てこのきまりが当てはまることを解説します。（4分32秒）"
ERK-SET04-08,ERK4290S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,てこのしくみとはたらき,ここでもはたらく「てこのきまり」,"バットやほうき、孫の手など、不均一な棒がつり合うとき、てこのきまりは当てはまるかを検証します。また、アルミ棒を曲げたときどちらに傾くか、つり合っている人参を支点の位置で切り分けたとき、左右の重さはどうなるかなどについて解説します。（4分46秒）"
ERK-SET04-09,ERK6150S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,電気は何に変わるか,"電気製品は、電気を、どのようなものに変えているのでしょうか。身近な電気製品を例に、電気が、光、音、熱、運動などに変えて利用されていることを紹介します。（３分３１秒）"
ERK-SET04-09,ERK6160S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,電熱線,"オーブントースターやドライヤーの中には、電熱線が使われていることを紹介します。また、電熱線に電気を流すと発熱するのか、みつろう粘土や発泡ポリスチレン、デジタル温度計などを使って調べます。（３分２５秒）"
ERK-SET04-09,ERK6170S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,電熱線に流す電流の強さと発熱の量,"電熱線の発熱する量は、電流の強さと関係があるのか調べていきます。実験では、電源装置で電熱線に流す電流の強さを変えて、発熱のしかたを比べます。（４分４１秒）"
ERK-SET04-09,ERK6180S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,電熱線の太さと発熱の量,"電熱線の発熱する量は、電熱線の太さによって変わるのか調べていきます。実験では、太さの違う２種類の電熱線にみつろう粘土をのせ、溶けて落ちるまでの時間を比べます。（３分４９秒）"
ERK-SET04-09,ERK6190S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,電熱線の長さと発熱の量,"電熱線の発熱する量は、電熱線の長さによって変わるのか調べていきます。（２分１５秒）"
ERK-SET04-09,ERK6200S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,手回し発電機で電気をつくる,"モーターの軸に巻きつけた糸を勢いよく引っ張ると、電気がつくられるようすを紹介します。また、豆電球、モーター、発光ダイオードを手回し発電機につなぎ、ハンドルを回す速さや方向を変えると、どうなるのか調べます。（４分３５秒）"
ERK-SET04-09,ERK6210S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,発電所のしくみ−水力・火力・原子力−,"水力発電所、火力発電所、原子力発電所の数と発電量をグラフで紹介します。また、それぞれの発電所を訪ねて、発電のしくみを見ていきます。（３分５２秒）"
ERK-SET04-09,ERK6220S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,電気をためる,"電気をためて繰り返し使うことができる電気製品には、充電式電池やコンデンサーが使われていることを紹介します。また、手回し発電機を使って、コンデンサーに電気をためることができるか調べます。（２分５２秒）"
ERK-SET04-09,ERK6230S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,豆電球と発光ダイオード,"コンデンサーにたまる電気の量は、手回し発電機を回す回数によって変わるのか調べます。同時に、豆電球と発光ダイオードでは、電気の使われ方に違いがあるのか調べます。（６分１３秒）"
ERK-SET04-09,ERK6240S,小学校　６年　理科　ショートコンテンツシリーズ　全９タイトル,電気の利用,風力発電機づくり,"青森県の風力発電所を訪ねて、風の力で風車が回って発電が行われているようすを紹介します。また、ペットボトルや発電用モーター、発光ダイオードなどを使った、小さな風力発電機の作り方を紹介します。（６分１７秒）"
ESY-SET01-01,ESY5460S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ(長編）,アルミかん、ガラスびん、古紙、ペットボトル、生ごみが生まれ変わり、再び私たちの元に戻ってくる過程を追いかけます。また、それぞれの資源ごみの具体的な出し方についても紹介します。（２２分３７秒）
ESY-SET01-01,ESY5470S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ,アルミかんのリサイクル,"使い終わったアルミ缶がどのようにリサイクルされて、何に生まれ変わるのかを紹介します。また、リサイクルの利点や出し方についてもふれます。（５分１６秒）"
ESY-SET01-01,ESY5480S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ,ガラスびんのリサイクル,"使い終わったビンがどのようにリサイクルされて、何に生まれ変わるのかを紹介します。また、リサイクルの利点や出し方についてもふれます。（４分４秒）"
ESY-SET01-01,ESY5490S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ,古紙のリサイクル,"新聞紙などの使い終わった紙を回収して、再生紙として再び活用されるようすを紹介します。古紙をリサイクルすることの利点や出し方についてもふれます。（４分１９秒）"
ESY-SET01-01,ESY5500S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ,ペットボトルのリサイクル,"使い終わったペットボトルを再利用して、洋服をつくる工程を紹介します。リサイクルすることの利点や具体的な出し方についてもふれます。（５分３秒）"
ESY-SET01-01,ESY5510S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,ゴミをへらそう！リサイクル　アルミかん・ガラスびん・古紙・ペットボトル・生ごみ,生ごみのリサイクル,"食堂などから出る生ごみが、たいひセンターで有機ひ料に生まれ変わるようすを紹介します。（３分１６秒）"
ESY-SET01-02,ESY6040S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,森はともだち,森はともだち(長編）,"森林の一年の風景を通しながら、人間をはじめとする多くの生き物が森林から様々な恵みを受けていることを紹介します。（１６分０９秒）"
ESY-SET01-02,ESY6050S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,森はともだち,夏の森 ,"ハイキングやさまざまな生き物の活動を通しながら、夏の森のようすを紹介します。（４分２２秒）"
ESY-SET01-02,ESY6060S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,森はともだち,秋の森,"紅葉した葉、木の実を食べる動物、落ち葉の下で活動する虫など、秋の森林のようすを紹介します。（２分５０秒）"
ESY-SET01-02,ESY6070S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,森はともだち,冬の森,"雪に閉ざされた森で、木々がなだれを防いでいるようすなどを紹介します。（１分３４秒）"
ESY-SET01-02,ESY6080S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,森はともだち,春の森,"雪解け、発芽する芽、活動を始める生き物など、春の森林のようすを紹介します。（１分４２秒）"
ESY-SET01-02,ESY6090S,小学校　３～５年　社会　くらしと環境シリーズ　全２タイトル,森はともだち,森を守る,"日本で世界自然遺産に登録されている白神山地や屋久島などのようすを紹介します。（３分４１秒）"
ESY-SET02-01,ESY4700S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,わたしたちのまちのたんけん(長編）,"学校の屋上からまちをながめて「たんけんコース」を決め、実際にまちの中を歩きながらさまざまなことを調べて、地図上にまとめていくようすを具体的に紹介します。（１７分５４秒）"
ESY-SET02-01,ESY4710S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,まちのようすをしらべよう,"まちの中に見られるビルや商店、古い建物や土地のようすなどについて、探検をして調べてみようと投げかけています。（３２秒）"
ESY-SET02-01,ESY4720S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,高いところからまちを見る,"学校の屋上からまちを見渡し、東西南北それぞれの方位に何が見えるのかを整理しているようすを紹介します。（１分４３秒）"
ESY-SET02-01,ESY4730S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,たんけんの計画を立てる,"班の中で話し合って、まち探検のコースを決めているようすを紹介します。また、探検をするときに、どんなことに気をつけて調べるのか、何を持っていくのかということを提示します。（２分２９秒）"
ESY-SET02-01,ESY4740S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,東コースのたんけん,"学校の東側のコースを探検しているようすを紹介します。（２分４２秒）"
ESY-SET02-01,ESY4750S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,西コースのたんけん,"学校の西側のコースを探検しているようすを紹介しています。（２分１６秒）"
ESY-SET02-01,ESY4760S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,絵地図にまとめる,"東コースと西コースで調べたことを絵地図にまとめ、それぞれの絵地図を合わせてまち全体の絵地図を作るようすを紹介します。（２分４１秒）"
ESY-SET02-01,ESY4770S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,いろいろな地図記号,"実写と由来を交えながらおもな地図記号を紹介します。（２分３９秒）"
ESY-SET02-01,ESY4780S,小学校　３・４年　社会　くらしシリーズ　全６タイトル,わたしたちのまちのたんけん,地図記号を使って地図をつくる（まとめ）,"絵地図で表した建物などを地図記号に直し、さらに土地利用を読み取って色分けして航空写真と比べているようすを紹介します。また、これまでに見てきたまち探検の手順や、地図のつくり方をふりかえります。（２分２２秒）"
